Smiles,Value
O=C(NCCCCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2)c1cc(=O)c2ccccc2o1,125.0
COc1cccc(CN2CCC(CCC(=O)c3cc4c5c(ccn5C(=O)CC4)c3)CC2)c1,125.89
CCN(CC)C(=O)C1CCN(C(O)=Nc2cccc(Cn3[nH]c(=Nc4cccc5ccccc45)ccc3=O)c2)CC1,126.0
N=c1c2c([nH]c3ccccc13)CC1C=C(c3ccccc3)CC2C1,126.0
COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)n2CCCCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)cc1,126.0
CN(C)c1ccc(-c2cc(-c3cccc4ccccc34)nc3nncn23)cc1,126.0
c1ccc2c(c1)CC[N+](=c1ccn(Cc3ccc(Cn4ccc(=[N+]5CCc6ccccc6C5)cc4)cc3)cc1)C2,126.0
CCN(C)c1ccc(/C=C/C(=O)c2cc(OC)c(OC)cc2O)cc1,126.0
Fc1ccc(C(c2ccc(F)cc2)N2CCN(CCN3CCCCC3)CC2)cc1,126.3
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCCC2,127.0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(C)cc3)CC1)C2,127.0
O=C(NCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,127.0
CC[N+](CC)(CC)CCOc1ccc(C(=O)NCCCCCC(O)=NN=c2c3c([nH]c4cc(Cl)ccc24)CCCC3)cc1,127.0
COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(O)c(CN(C)C)c1)O2,127.0
OC(/C=C/c1ccc(O)cc1)=NCCCN=c1c2c([nH]c3ccccc13)CCCC2,128.0
COc1cc2c(cc1OC)S(=O)(=O)C(CC1CCN(Cc3c(F)cc(F)cc3F)CC1)C2,128.0
FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,128.0
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(Br)c4)cc3)ccc12,129.0
COc1ccc(Cn2cc(C(O)=NCCCN=c3c4c([nH]c5ccccc35)CCCC4)c(=O)c3ccccc32)cc1,129.0
Cc1ccc(/C=C2\COc3cc(OCCCCCCN=c4c5c([nH]c6ccccc46)CCCC5)ccc3C2=O)cc1,129.0
Cc1ccc(S(=O)(=O)SCc2ccc(OC(F)(F)F)cc2)cc1,129.0
CN1CC[C@@]2(C)c3cc(OC(O)=Nc4ccccc4)ccc3N(C)[C@H]2O1,130.0
CCCCCCCN=c1c2c([nH]c3cc(C)ccc13)CCCC2,130.0
C[O+]=C1C=CC2=CN(CCCCCCCCCCCCN3C(=O)c4ccccc4C3=O)CC[C@@]34C=C[C@H](O)C[C@@H]3OC1=C24,130.0
CCN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1ccccc1,130.0
O=C1c2cccc(O)c2C(=O)c2c(O)cc(C(O)=NCCCCCCN=c3c4c([nH]c5ccccc35)CCCCC4)cc21,130.0
COc1ccc2ccccc2c1C1c2c(n[nH]c2C)Oc2nc3c(c(N)c21)CCCC3,130.0
CC(=O)C(Cc1ccc(O)cc1)C(O)=NCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,130.0
CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,130.0
COC(=O)c1sc(-c2ccnc(N=C(O)C3CC3)c2)nc1OCCN=c1c2c([nH]c3ccccc13)CCCC2,130.0
CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccc([N+](=O)[O-])cc4)cc3)CC2)CC1,130.0
COc1cc2c(cc1OC)C(=O)C(Oc1ccc(C(C)N3CCCCC3)cc1)C2,130.0
C#CCN=C(O)c1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,130.0
Cc1ccc(S(=O)(=O)NCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)cc1,130.0
Cc1cc(=O)oc2cc(OCCCN3CCN(CC(=O)N=c4c5c([nH]c6ccccc46)CCCC5)CC3)ccc12,130.0
Cc1ccc(C(=O)/C=C/c2ccc(N3CCCCC3)cc2)s1,130.0
COc1cc(CN2CCCC2)ccc1OC(=O)N(C)C,130.0
COC1=CC=C2C=C3c4cc5c(cc4CC[NH+]3C=C2/C1=N/CCc1ccc(Cl)cc1Cl)OCO5,130.0
COc1cccc2cc(C(=O)NCCCN=c3c4c([nH]c5cc(Cl)ccc35)CCCC4)oc12,130.0
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,130.0
CCN(CCCCOc1ccc(C(=O)/C=C/c2ccc(N(C)C)cc2)c(O)c1)Cc1ccccc1N(C)C,130.0
OC(/C=C/CCc1ccc2c(c1)OCO2)=NCCCN=c1c2c([nH]c3ccccc13)CCCC2,130.0
CCN(CC)CCc1ccc(Oc2ccc(C(=O)c3ccc(CN(C)Cc4ccccc4)cc3)cc2)cc1,130.0
CN=C(O)Oc1ccc2c(c1)c(C)cn2N=c1cc[nH]cc1F,130.0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(F)cc3)CC1)C2,130.0
CCN(CC)CCCCOc1ccc2c(=O)cc(-c3ccccc3)oc2c1C,130.0
Cn1c(=O)cc(-c2ccncc2)[nH]c1=NCCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,130.0
NCCCCCCCC/N=c1/c2ccc(Cl)cc2nc2n1CCC2,130.0
